Club,Partidos,V,E,D,DG,Goles,Pts,Faltas,T.R,T.A,Corner,TaP,Tf,Tt
FC Barcelona,38,32,4,2,75,115,100,0,1,58,0,0,0,0
Real Madrid CF,38,26,7,5,61,103,85,0,2,92,0,0,0,0
Atlético Madrid,38,23,7,8,34,65,76,0,0,101,0,0,0,0
Real Sociedad,38,18,12,8,21,70,66,0,0,93,0,0,0,0
Valencia CF,38,19,8,11,13,67,65,0,4,121,0,0,0,0
Málaga CF,38,16,9,13,3,53,57,0,4,94,0,0,0,0
Real Betis Balompié,38,16,8,14,1,57,56,0,3,118,0,0,0,0
Rayo Vallecano,38,16,5,17,-16,50,53,0,2,139,0,0,0,0
Sevilla FC,38,14,8,16,4,58,50,0,6,97,0,0,0,0
Getafe CF,38,13,8,17,-14,43,47,0,6,114,0,0,0,0
Levante UD,38,12,10,16,-17,40,46,0,1,112,0,0,0,0
Athletic Club de Bilbao,38,12,9,17,-21,44,45,0,3,120,0,0,0,0
RCD Espanyol,38,11,11,16,-9,43,44,0,4,148,0,0,0,0
Real Valladolid,38,11,10,17,-9,49,43,0,0,80,0,0,0,0
Granada CF,38,11,9,18,-17,37,42,0,0,102,0,0,0,0
CA Osasuna,38,10,9,19,-17,33,39,0,6,113,0,0,0,0
RC Celta de Vigo,38,10,7,21,-15,37,37,0,2,98,0,0,0,0
RCD Mallorca,38,9,9,20,-29,43,36,0,3,98,0,0,0,0
RC Deportivo de La Coruña,38,8,11,19,-23,47,35,0,2,104,0,0,0,0
Real Zaragoza,38,9,7,22,-25,37,34,0,3,127,0,0,0,0
