Club,Partidos,V,E,D,DG,Goles,Pts,Faltas,T.R,T.A,Corner,TaP,Tf,Tt
FC Barcelona,38,29,4,5,83,112,91,255,1,66,221,254,255,509
Real Madrid CF,38,28,6,4,76,110,90,297,2,71,257,283,297,580
Atlético Madrid,38,28,4,6,45,63,88,224,1,90,208,197,224,421
Villarreal CF,38,18,10,10,9,44,64,153,1,99,175,145,153,298
Athletic Club de Bilbao,38,18,8,12,13,58,62,202,4,85,208,181,202,383
RC Celta de Vigo,38,17,9,12,-8,51,60,187,3,113,204,201,187,388
Sevilla FC,38,14,10,14,1,51,52,199,2,101,252,212,199,411
Real Sociedad,38,13,9,16,-3,45,48,196,2,106,199,196,196,392
Málaga CF,38,12,12,14,3,38,48,194,1,108,193,206,194,400
Real Betis Balompié,38,11,12,15,-18,34,45,168,0,110,164,167,168,335
UD Las Palmas,38,12,8,18,-8,45,44,167,2,97,149,187,167,354
Valencia CF,38,11,11,16,-2,46,44,157,2,107,185,180,157,337
RCD Espanyol,38,12,7,19,-34,40,43,157,0,127,178,179,157,336
SD Eibar,38,11,10,17,-12,49,43,165,1,106,172,193,165,358
RC Deportivo de La Coruña,38,8,18,12,-16,45,42,199,1,83,191,194,199,393
Real Sporting de Gijón,38,10,9,19,-22,40,39,166,1,103,165,147,166,313
Granada CF,38,10,9,19,-23,46,39,181,2,139,148,181,181,362
Rayo Vallecano,38,9,11,18,-21,52,38,222,6,112,227,209,222,431
Getafe CF,38,9,9,20,-30,37,36,191,2,128,183,197,191,388
Levante UD,38,8,8,22,-33,37,32,192,2,129,165,175,192,367
