Club,Partidos,V,E,D,DG,Goles,Pts,Faltas,T.R,T.A,Corner,TaP,Tf,Tt
Real Madrid CF,38,32,4,2,89,121,100,299,1,93,227,272,299,571
FC Barcelona,38,28,7,3,85,114,91,221,1,79,263,289,221,510
Valencia CF,38,17,10,11,15,59,61,208,5,125,206,165,208,373
Málaga CF,38,17,7,14,1,54,58,99,4,74,112,123,99,222
Atlético Madrid,38,15,11,12,7,53,56,198,2,127,195,191,198,389
Levante UD,38,16,7,15,4,54,55,75,1,115,79,62,75,137
CA Osasuna,38,13,15,10,-17,44,54,88,2,103,82,85,88,173
RCD Mallorca,38,14,10,14,-4,42,52,84,4,118,91,64,84,148
Sevilla FC,38,13,11,14,1,48,50,223,3,111,184,197,223,420
Athletic Club de Bilbao,38,12,13,13,-3,49,49,110,2,109,155,100,110,210
Real Betis Balompié,38,13,8,17,-9,47,47,161,4,106,134,136,161,297
Real Sociedad,38,12,11,15,-6,46,47,81,3,79,63,61,81,142
Getafe CF,38,12,11,15,-11,40,47,56,4,122,59,45,56,101
RCD Espanyol,38,12,10,16,-10,46,46,113,3,128,98,92,113,205
Rayo Vallecano,38,13,4,21,-20,53,43,88,3,123,104,78,88,166
Real Zaragoza,38,12,7,19,-25,36,43,104,4,118,104,92,104,196
Granada CF,38,12,6,20,-21,35,42,111,6,111,91,86,111,197
Villarreal CF,38,9,14,15,-14,39,41,127,1,95,109,123,127,250
Real Sporting de Gijón,38,10,7,21,-27,42,37,85,0,118,94,106,85,191
Racing Santander,38,4,15,19,-35,28,27,51,5,114,46,34,51,85
