Club,Partidos,V,E,D,DG,Goles,Pts,Faltas,T.R,T.A,Corner,TaP,Tf,Tt
FC Barcelona,38,27,6,5,70,105,87,282,3,73,241,288,282,570
Real Madrid CF,38,25,3,10,31,83,78,243,6,114,181,266,243,509
Sevilla FC,38,21,7,10,15,54,70,217,4,101,158,158,217,375
Atlético Madrid,38,20,7,11,23,80,67,154,1,108,128,142,154,296
Villarreal CF,38,18,11,9,7,61,65,127,1,97,123,129,127,256
Valencia CF,38,18,8,12,14,68,62,149,1,117,139,167,149,315
RC Deportivo de La Coruña,38,16,10,12,1,48,58,70,3,79,83,80,70,150
Málaga CF,38,15,10,13,-4,55,55,67,6,88,58,57,67,124
RCD Mallorca,38,14,9,15,-7,53,51,59,3,103,57,56,59,115
RCD Espanyol,38,12,11,15,-3,46,47,68,2,101,51,69,68,137
UD Almería,38,13,7,18,-16,45,46,50,11,85,38,41,50,91
Racing Santander,38,12,10,16,1,49,46,30,4,116,34,34,30,64
Athletic Club de Bilbao,38,12,8,18,-15,47,44,66,5,100,69,76,66,142
Real Sporting de Gijón,38,14,1,23,-32,47,43,59,4,108,56,65,59,124
Real Valladolid,38,12,7,19,-12,46,43,58,4,78,63,59,58,117
CA Osasuna,38,10,13,15,-6,41,43,51,5,103,60,49,51,100
Getafe CF,38,10,12,16,-6,50,42,94,4,116,56,60,94,154
Real Betis Balompié,38,10,12,16,-7,51,42,106,3,94,83,80,106,186
CD Numancia,38,10,5,23,-31,38,35,28,3,98,24,26,28,54
RC Recreativo,38,8,9,21,-23,34,33,40,0,92,48,31,40,71
