Club,Partidos,V,E,D,DG,Goles,Pts,Faltas,T.R,T.A,Corner,TaP,Tf,Tt
FC Barcelona,38,30,4,4,89,110,94,255,2,68,236,272,255,527
Real Madrid CF,38,30,2,6,80,118,92,288,2,86,246,281,288,569
Atlético Madrid,38,23,9,6,38,67,78,178,1,114,195,194,178,372
Valencia CF,38,22,11,5,38,70,77,203,4,108,168,176,203,379
Sevilla FC,38,23,7,8,26,71,76,183,1,117,200,219,183,402
Villarreal CF,38,16,12,10,11,48,60,223,1,95,227,234,223,457
Athletic Club de Bilbao,38,15,10,13,1,42,55,196,1,99,208,211,196,407
RC Celta de Vigo,38,13,12,13,3,47,51,220,4,117,240,223,220,443
Málaga CF,38,14,8,16,-6,42,50,205,5,109,200,211,205,416
Rayo Vallecano,38,15,4,19,-22,46,49,218,2,109,197,224,218,442
RCD Espanyol,38,13,10,15,-4,47,49,155,2,121,177,164,155,319
Real Sociedad,38,11,13,14,-7,44,46,194,1,89,202,182,194,376
Elche CF,38,11,8,19,-27,35,41,192,1,108,166,165,192,357
Getafe CF,38,10,7,21,-31,33,37,175,3,97,182,196,175,371
Levante UD,38,9,10,19,-33,34,37,198,3,107,180,147,198,345
SD Eibar,38,9,8,21,-21,34,35,162,2,107,154,149,162,311
RC Deportivo de La Coruña,38,7,14,17,-25,35,35,173,1,109,170,189,173,362
Granada CF,38,7,14,17,-35,29,35,188,3,113,196,173,188,361
UD Almería,38,8,8,22,-29,35,32,191,2,116,191,158,191,349
Córdoba CF,38,3,11,24,-46,22,20,189,4,101,154,172,189,361
