Club,Partidos,V,E,D,DG,Goles,Pts,Faltas,T.R,T.A,Corner,TaP,Tf,Tt
FC Barcelona,38,31,6,1,74,98,99,208,3,69,245,238,208,446
Real Madrid CF,38,31,3,4,67,102,96,311,2,84,220,347,311,658
Valencia CF,38,21,8,9,19,59,71,195,3,100,238,228,195,423
Sevilla FC,38,19,6,13,16,65,63,179,4,97,188,131,179,310
RCD Mallorca,38,18,8,12,15,59,62,92,2,92,95,84,92,176
Getafe CF,38,17,7,14,10,58,58,108,2,105,103,98,108,206
Villarreal CF,38,16,8,14,1,58,56,94,6,91,111,111,94,205
Athletic Club de Bilbao,38,15,9,14,-3,50,54,137,4,86,151,110,137,247
Atlético Madrid,38,13,8,17,-4,57,47,161,3,88,133,140,161,301
RC Deportivo de La Coruña,38,13,8,17,-14,35,47,119,3,60,108,94,119,213
RCD Espanyol,38,11,11,16,-17,29,44,87,2,111,81,63,87,150
CA Osasuna,38,11,10,17,-9,37,43,44,5,81,57,35,44,79
UD Almería,38,10,12,16,-12,43,42,41,4,90,46,31,41,72
Real Zaragoza,38,10,11,17,-18,46,41,96,3,116,87,82,96,178
Real Sporting de Gijón,38,9,13,16,-15,36,40,62,1,96,65,65,62,127
Racing Santander,38,9,12,17,-17,42,39,61,1,95,45,47,61,108
Málaga CF,38,7,16,15,-6,42,37,51,9,117,54,30,51,81
CD Tenerife,38,9,9,20,-34,40,36,87,2,87,68,73,87,160
Real Valladolid,38,7,15,16,-25,37,36,70,7,99,75,73,70,143
Xerez Club Deportivo,38,8,10,20,-28,38,34,46,5,98,48,41,46,87
